TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,binned_TransactionAmount,Target
14.09,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 8:08:08,1,2
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 8:09:35,2,2
126.29,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 8:07:04,1,0
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,2024-11-04 8:09:06,1,2
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,2024-11-04 8:06:36,1,2
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,2024-11-04 8:06:32,0,1
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 8:07:12,1,1
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,2024-11-04 8:07:06,0,3
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,2024-11-04 8:10:09,1,1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 8:12:19,2,3
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 8:11:51,2,3
59.32,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,2024-11-04 8:09:24,1,1
85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 8:08:13,1,0
52.2,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 8:07:01,1,2
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 8:07:09,1,1
40.32,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 8:11:59,1,1
127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 8:11:22,1,1
56.17,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 8:08:30,1,0
59.12,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 8:06:58,1,1
